start_station_name,end_station_name,day,parts_of_day,duration_minutes,month,subscriber_type,year,start_hour,count
Capital Metro HQ - East 5th at Broadway,Capital Metro HQ - East 5th at Broadway,4,late morning,36.54567307692308,10,Local365,2015.3028846153845,12.89423076923077,416
Nueces @ 3rd,Nueces @ 3rd,5,early afternoon,33.40263157894737,10,Walk Up,2015.1157894736841,14.213157894736842,380
Rainey @ River St,Rainey @ River St,6,early afternoon,41.6010781671159,1,Walk Up,2015.3045822102426,14.436657681940702,371
Lavaca & 6th,Lavaca & 6th,5,early afternoon,49.255494505494504,7,Walk Up,2015.9587912087911,13.82967032967033,364
East 2nd & Pedernales,East 2nd & Pedernales,5,late morning,53.65028901734104,2,Walk Up,2016.1878612716764,13.3121387283237,346
East 4th & Chicon,East 4th & Chicon,4,early afternoon,41.466887417218544,5,Walk Up,2016.1788079470198,14.172185430463577,302
Republic Square @ Federal Courthouse Plaza,Republic Square @ Federal Courthouse Plaza,5,late afternoon,49.63898916967509,9,Walk Up,2016.3718411552347,14.440433212996389,277
11th & San Jacinto,11th & San Jacinto,5,late afternoon,46.886861313868614,7,Walk Up,2016.0547445255474,13.861313868613138,274
Boardwalk West,Boardwalk West,1,evening,48.36057692307692,6,Walk Up,2017.0,15.524038461538462,208
6th & Congress,6th & Congress,5,late afternoon,50.5025641025641,4,Walk Up,2017.0,14.312820512820513,195
6th & Navasota St.,6th & Navasota St.,5,late afternoon,43.578125,3,24-Hour Kiosk (Austin B-cycle),2014.0,14.869791666666666,192
ACC - Rio Grande & 12th,ACC - Rio Grande & 12th,5,late afternoon,42.46783625730994,3,24-Hour Kiosk (Austin B-cycle),2014.3508771929824,15.175438596491228,171
Pease Park,Pease Park,5,late afternoon,30.656626506024097,3,Walk Up,2016.5421686746988,14.27710843373494,166
Nueces & 3rd,Nueces & 3rd,6,evening,45.848101265822784,5,Walk Up,2017.0,14.474683544303797,158
Medina & East 6th,Medina & East 6th,6,evening,23.38888888888889,3,Walk Up,2017.0,13.680555555555555,144
13th & San Antonio,13th & San Antonio,1,late morning,26.96969696969697,3,Local365,2017.0,12.613636363636363,132
Republic Square,Republic Square,5,late afternoon,45.73504273504273,1,24-Hour Kiosk (Austin B-cycle),2014.1196581196582,14.427350427350428,117
Zilker Park West,Zilker Park West,5,evening,20.489583333333332,10,Walk Up,2015.3125,16.84375,96
Guadalupe & 6th,Guadalupe & 6th,2,late afternoon,42.464285714285715,3,Walk Up,2017.0,13.547619047619047,84
Red River & LBJ Library,Red River & LBJ Library,6,late morning,53.392405063291136,8,24-Hour Kiosk (Austin B-cycle),2014.253164556962,13.278481012658228,79
East 7th & Pleasant Valley,East 7th & Pleasant Valley,5,late afternoon,55.763636363636365,10,Walk Up,2016.0,13.709090909090909,55
Sterzing at Barton Springs,Sterzing at Barton Springs,6,evening,62.83018867924528,7,Walk Up,2017.0,15.830188679245284,53
Congress & Cesar Chavez,Congress & Cesar Chavez,5,early afternoon,41.86274509803921,7,Walk Up,2017.0,12.588235294117647,51
State Parking Garage @ Brazos & 18th,State Parking Garage @ Brazos & 18th,1,early afternoon,34.470588235294116,3,24-Hour Kiosk (Austin B-cycle),2014.0,14.03921568627451,51
8th & Guadalupe,8th & Guadalupe,3,late afternoon,36.34782608695652,5,24-Hour Kiosk (Austin B-cycle),2014.0,13.08695652173913,46
OFFICE/Main/Shop/Repair,OFFICE/Main/Shop/Repair,0,early afternoon,25.625,1,Annual Membership (Austin B-cycle),2014.6,12.875,40
Henderson & 9th,Henderson & 9th,6,late morning,25.75,7,Walk Up,2017.0,13.666666666666666,12
